sample	experiment	run	celltype	organism	path	bait_chrom	bait_name	treatment	group	group_short	group_i	control	alleles	concentration	description
SRR10734012	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10734012_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	3	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734013	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10734013_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	4	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734014	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10734014_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	1	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734015	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10734015_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	2	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734016	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10734016_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	3	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734017	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10734017_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	4	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734018	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10734018_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	1	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734019	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10734019_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	2	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734020	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10734020_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	3	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734021	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10734021_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	4	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734022	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10734022_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	1	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734023	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10734023_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	2	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734024	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10734024_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	3	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734025	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10734025_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	4	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734026	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10734026_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	1	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734027	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10734027_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	2	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734028	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10734028_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	3	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734029	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10734029_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	4	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734030	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10734030_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	1	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734031	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10734031_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	2	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734032	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10734032_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	3	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734033	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10734033_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	4	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734034	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10734034_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	1	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734035	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10734035_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	2	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734036	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10734036_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	3	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734037	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10734037_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	4	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734038	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10734038_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	1	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734039	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10734039_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	2	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734040	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10734040_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	3	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734041	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10734041_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	4	T	2	0	From Tena et al. PNAS 2020; exp line 02
PW103	APH concentration	B400_017	NPC	mouse	APH_concentration/PW103_B400_017_result.tlx	chr8	Chr8_61Mb	DMSO	DMSO	DMSO	1	T	2	0	ESC-NPC;NXP010; DMSO
PW104	APH concentration	B400_017	NPC	mouse	APH_concentration/PW104_B400_017_result.tlx	chr8	Chr8_61Mb	APH 0.2 uM 96h	APH 0.2 uM 96h	APH 0.2	1	F	2	0.2	ESC-NPC;NXP010; Aphidicolin 0.2 uM 96h
PW105	APH concentration	B400_017	NPC	mouse	APH_concentration/PW105_B400_017_result.tlx	chr8	Chr8_61Mb	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4	1	F	2	0.4	ESC-NPC;NXP010; Aphidicolin 0.4 uM 96h
PW106	APH concentration	B400_017	NPC	mouse	APH_concentration/PW106_B400_017_result.tlx	chr8	Chr8_61Mb	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6	1	F	2	0.6	ESC-NPC;NXP010; Aphidicolin 0.6 uM 96h
PW107	APH concentration	B400_017	NPC	mouse	APH_concentration/PW107_B400_017_result.tlx	chr6	Chr6_70Mb	DMSO	DMSO	DMSO	2	T	2	0	ESC-NPC;NXP010; DMSO
PW108	APH concentration	B400_017	NPC	mouse	APH_concentration/PW108_B400_017_result.tlx	chr6	Chr6_70Mb	APH 0.2 uM 96h	APH 0.2 uM 96h	APH 0.2	2	F	2	0.2	ESC-NPC;NXP010; Aphidicolin 0.2 uM 96h
PW109	APH concentration	B400_017	NPC	mouse	APH_concentration/PW109_B400_017_result.tlx	chr6	Chr6_70Mb	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4	2	F	2	0.4	ESC-NPC;NXP010; Aphidicolin 0.4 uM 96h
PW110	APH concentration	B400_017	NPC	mouse	APH_concentration/PW110_B400_017_result.tlx	chr6	Chr6_70Mb	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6	2	F	2	0.6	ESC-NPC;NXP010; Aphidicolin 0.6 uM 96h
PW111	APH concentration	B400_017	NPC	mouse	APH_concentration/PW111_B400_017_result.tlx	chr6	Chr6_70Mb	DMSO	DMSO	DMSO	3	T	2	0	ESC-NPC;NXP010; DMSO
PW112	APH concentration	B400_017	NPC	mouse	APH_concentration/PW112_B400_017_result.tlx	chr6	Chr6_70Mb	APH 0.2 uM 96h	APH 0.2 uM 96h	APH 0.2	3	F	2	0.2	ESC-NPC;NXP010; Aphidicolin 0.2 uM 96h
PW113	APH concentration	B400_017	NPC	mouse	APH_concentration/PW113_B400_017_result.tlx	chr6	Chr6_70Mb	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4	3	F	2	0.4	ESC-NPC;NXP010; Aphidicolin 0.4 uM 96h
PW114	APH concentration	B400_017	NPC	mouse	APH_concentration/PW114_B400_017_result.tlx	chr6	Chr6_70Mb	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6	3	F	2	0.6	ESC-NPC;NXP010; Aphidicolin 0.6 uM 96h
PW115	APH concentration	B400_018	NPC	mouse	APH_concentration/PW115_B400_018_result.tlx	chr8	Chr8_61Mb	DMSO	DMSO	DMSO	2	T	2	0	ESC-NPC;NXP010; DMSO
PW116	APH concentration	B400_018	NPC	mouse	APH_concentration/PW116_B400_018_result.tlx	chr8	Chr8_61Mb	APH 0.2 uM 96h	APH 0.2 uM 96h	APH 0.2	2	F	2	0.2	ESC-NPC;NXP010; Aphidicolin 0.2 uM 96h
PW117	APH concentration	B400_018	NPC	mouse	APH_concentration/PW117_B400_018_result.tlx	chr8	Chr8_61Mb	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4	2	F	2	0.4	ESC-NPC;NXP010; Aphidicolin 0.4 uM 96h
PW118	APH concentration	B400_018	NPC	mouse	APH_concentration/PW118_B400_018_result.tlx	chr8	Chr8_61Mb	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6	2	F	2	0.6	ESC-NPC;NXP010; Aphidicolin 0.6 uM 96h
PW119	APH concentration	B400_018	NPC	mouse	APH_concentration/PW119_B400_018_result.tlx	chr8	Chr8_61Mb	DMSO	DMSO	DMSO	3	T	2	0	ESC-NPC;NXP010; DMSO
PW120	APH concentration	B400_018	NPC	mouse	APH_concentration/PW120_B400_018_result.tlx	chr8	Chr8_61Mb	APH 0.2 uM 96h	APH 0.2 uM 96h	APH 0.2	3	F	2	0.2	ESC-NPC;NXP010; Aphidicolin 0.2 uM 96h
PW121	APH concentration	B400_018	NPC	mouse	APH_concentration/PW121_B400_018_result.tlx	chr8	Chr8_61Mb	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4	3	F	2	0.4	ESC-NPC;NXP010; Aphidicolin 0.4 uM 96h
PW122	APH concentration	B400_018	NPC	mouse	APH_concentration/PW122_B400_018_result.tlx	chr8	Chr8_61Mb	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6	3	F	2	0.6	ESC-NPC;NXP010; Aphidicolin 0.6 uM 96h
PW123	APH concentration	B400_018	NPC	mouse	APH_concentration/PW123_B400_018_result.tlx	chr5	Chr5_101Mb	DMSO	DMSO	DMSO	1	T	2	0	ESC-NPC;NXP010; DMSO
PW124	APH concentration	B400_018	NPC	mouse	APH_concentration/PW124_B400_018_result.tlx	chr5	Chr5_101Mb	APH 0.2 uM 96h	APH 0.2 uM 96h	APH 0.2	1	F	2	0.2	ESC-NPC;NXP010; Aphidicolin 0.2 uM 96h
PW125	APH concentration	B400_018	NPC	mouse	APH_concentration/PW125_B400_018_result.tlx	chr5	Chr5_101Mb	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4	1	F	2	0.4	ESC-NPC;NXP010; Aphidicolin 0.4 uM 96h
PW126	APH concentration	B400_018	NPC	mouse	APH_concentration/PW126_B400_018_result.tlx	chr5	Chr5_101Mb	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6	1	F	2	0.6	ESC-NPC;NXP010; Aphidicolin 0.6 uM 96h
PW127	APH concentration	B400_018	NPC	mouse	APH_concentration/PW127_B400_018_result.tlx	chr5	Chr5_101Mb	DMSO	DMSO	DMSO	2	T	2	0	ESC-NPC;NXP010; DMSO
PW128	APH concentration	B400_018	NPC	mouse	APH_concentration/PW128_B400_018_result.tlx	chr5	Chr5_101Mb	APH 0.2 uM 96h	APH 0.2 uM 96h	APH 0.2	2	F	2	0.2	ESC-NPC;NXP010; Aphidicolin 0.2 uM 96h
PW129	APH concentration	B400_018	NPC	mouse	APH_concentration/PW129_B400_018_result.tlx	chr5	Chr5_101Mb	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4	2	F	2	0.4	ESC-NPC;NXP010; Aphidicolin 0.4 uM 96h
PW130	APH concentration	B400_018	NPC	mouse	APH_concentration/PW130_B400_018_result.tlx	chr5	Chr5_101Mb	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6	2	F	2	0.6	ESC-NPC;NXP010; Aphidicolin 0.6 uM 96h
PW131	APH concentration	B400_018	NPC	mouse	APH_concentration/PW131_B400_018_result.tlx	chr5	Chr5_101Mb	DMSO	DMSO	DMSO	3	T	2	0	ESC-NPC;NXP010; DMSO
PW132	APH concentration	B400_018	NPC	mouse	APH_concentration/PW132_B400_018_result.tlx	chr5	Chr5_101Mb	APH 0.2 uM 96h	APH 0.2 uM 96h	APH 0.2	3	F	2	0.2	ESC-NPC;NXP010; Aphidicolin 0.2 uM 96h
PW133	APH concentration	B400_018	NPC	mouse	APH_concentration/PW133_B400_018_result.tlx	chr5	Chr5_101Mb	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4	3	F	2	0.4	ESC-NPC;NXP010; Aphidicolin 0.4 uM 96h
PW134	APH concentration	B400_018	NPC	mouse	APH_concentration/PW134_B400_018_result.tlx	chr5	Chr5_101Mb	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6	3	F	2	0.6	ESC-NPC;NXP010; Aphidicolin 0.6 uM 96h
PW135	APH concentration	B400_019	NPC	mouse	APH_concentration/PW135_B400_019_result.tlx	chr5	Chr5_101Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3	1	F	2	0.3	ESC-NPC;NXP010; Aphidicolin 0.3 uM 96h
PW136	APH concentration	B400_019	NPC	mouse	APH_concentration/PW136_B400_019_result.tlx	chr5	Chr5_101Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3	2	F	2	0.3	ESC-NPC;NXP010; Aphidicolin 0.3 uM 96h
PW137	APH concentration	B400_019	NPC	mouse	APH_concentration/PW137_B400_019_result.tlx	chr5	Chr5_101Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3	3	F	2	0.3	ESC-NPC;NXP010; Aphidicolin 0.3 uM 96h
PW138	APH concentration	B400_019	NPC	mouse	APH_concentration/PW138_B400_019_result.tlx	chr6	Chr6_70Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3	1	F	2	0.3	ESC-NPC;NXP010; Aphidicolin 0.3 uM 96h
PW139	APH concentration	B400_019	NPC	mouse	APH_concentration/PW139_B400_019_result.tlx	chr6	Chr6_70Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3	2	F	2	0.3	ESC-NPC;NXP010; Aphidicolin 0.3 uM 96h
PW140	APH concentration	B400_019	NPC	mouse	APH_concentration/PW140_B400_019_result.tlx	chr8	Chr8_61Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3	1	F	2	0.3	ESC-NPC;NXP010; Aphidicolin 0.3 uM 96h
PW141	APH concentration	B400_019	NPC	mouse	APH_concentration/PW141_B400_019_result.tlx	chr8	Chr8_61Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3	2	F	2	0.3	ESC-NPC;NXP010; Aphidicolin 0.3 uM 96h
PW142	APH concentration (experimental)	B400_019	NPC	mouse	APH_concentration/PW142_B400_019_result.tlx	chr8	Chr8_61Mb	APH 0.2 uM 96h	APH 0.2 uM 96h	APH 0.2	1	F	2	0.2	ESC-NPC;NXP010; Aphidicolin 0.2 uM 96h (test new aphidicolin)
PW143	APH concentration (experimental)	B400_019	NPC	mouse	APH_concentration/PW143_B400_019_result.tlx	chr8	Chr8_61Mb	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4	1	F	2	0.4	ESC-NPC;NXP010; Aphidicolin 0.4 uM 96h (test new aphidicolin)
PW144	APH concentration (experimental)	B400_019	NPC	mouse	APH_concentration/PW144_B400_019_result.tlx	chr8	Chr8_61Mb	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6	1	F	2	0.6	ESC-NPC;NXP010; Aphidicolin 0.6 uM 96h (test new aphidicolin)
PW145	APH concentration (experimental)	B400_019	NPC	mouse	APH_concentration/PW145_B400_019_result.tlx	chr5	Chr5_101Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3	1	F	2	0.3	ESC-NPC;NXP010; Aphidicolin 0.3 uM 96h (Home-made Pfu enzyme)
GDM01	Doxycycline 10ug/ml	B400_019	ESC	mouse	GDM01_B400_019_result.tlx	chr6	Chr6_70Mb	Doxycycline 10ug/ml	Doxycycline 10ug/ml		1	F	2		ESC; TLCV2_Chr6-JM8/A4; Doxycycline 10ug/ml 36 hr
GDM02	Doxycycline 10ug/ml	B400_019	ESC	mouse	GDM02_B400_019_result.tlx	chr6	Chr6_70Mb	Doxycycline 10ug/ml	Doxycycline 10ug/ml		2	F	2		ESC; TLCV2_Chr6-JM8/A4; Doxycycline 10ug/ml 36 hr
GDM03	Doxycycline 10ug/ml	B400_019	ESC	mouse	GDM03_B400_019_result.tlx	chr6	Chr6_70Mb	Doxycycline 10ug/ml	Doxycycline 10ug/ml		1	T	2		ESC; TLCV2_Chr6-JM8/A4; untreated
GDM04	Doxycycline 10ug/ml	B400_019	ESC	mouse	GDM04_B400_019_result.tlx	chr6	Chr6_70Mb	Doxycycline 10ug/ml	Doxycycline 10ug/ml		2	T	2		ESC; TLCV2_Chr6-JM8/A4; untreated
PW146	APH concentration	B400_020	NPC	mouse	APH_concentration/PW146_B400_020_result.tlx	chr12	Chr12_13Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3 uM 96h	1	F	2	0.3	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h
PW147	APH concentration	B400_020	NPC	mouse	APH_concentration/PW147_B400_020_result.tlx	chr12	Chr12_13Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3 uM 96h	2	F	2	0.3	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h
PW148	APH concentration	B400_020	NPC	mouse	APH_concentration/PW148_B400_020_result.tlx	chr12	Chr12_13Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3 uM 96h	3	F	2	0.3	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h
PW149	APH concentration	B400_020	NPC	mouse	APH_concentration/PW149_B400_020_result.tlx	chr12	Chr12_13Mb	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4 uM 96h	1	F	2	0.4	ESC-NPC;NXP010;Aphidicolin 0.4 uM 96h
PW150	APH concentration	B400_020	NPC	mouse	APH_concentration/PW150_B400_020_result.tlx	chr12	Chr12_13Mb	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4 uM 96h	2	F	2	0.4	ESC-NPC;NXP010;Aphidicolin 0.4 uM 96h
PW151	APH concentration	B400_020	NPC	mouse	APH_concentration/PW151_B400_020_result.tlx	chr12	Chr12_13Mb	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6 uM 96h	1	F	2	0.6	ESC-NPC;NXP010;Aphidicolin 0.6 uM 96h
PW152	APH concentration	B400_020	NPC	mouse	APH_concentration/PW152_B400_020_result.tlx	chr12	Chr12_13Mb	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6 uM 96h	2	F	2	0.6	ESC-NPC;NXP010;Aphidicolin 0.6 uM 96h
PW153	APH concentration	B400_020	NPC	mouse	APH_concentration/PW153_B400_020_result.tlx	chr12	Chr12_13Mb	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6 uM 96h	3	F	2	0.6	ESC-NPC;NXP010;Aphidicolin 0.6 uM 96h
VI067	Nrxn1 promoter/enhancer	B400_020	NPC	mouse	VI067_B400_020_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic deletion (22)	DMSO	1	T	1	0	ESC-NPC;Nxp047;22;DMSO
VI068	Nrxn1 promoter/enhancer	B400_020	NPC	mouse	VI068_B400_020_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic deletion (22)	DMSO	2	T	1	0	ESC-NPC;Nxp047;22;DMSO
VI069	Nrxn1 promoter/enhancer	B400_020	NPC	mouse	VI069_B400_020_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic+promoter deletion (22/5)	DMSO	1	T	1	0	ESC-NPC;Nxp047;22-5;DMSO
VI070	Nrxn1 promoter/enhancer	B400_020	NPC	mouse	VI070_B400_020_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic+promoter deletion (22/5)	DMSO	2	T	1	0	ESC-NPC;Nxp047;22-5;DMSO
VI071	Nrxn1 promoter/enhancer	B400_020	NPC	mouse	VI071_B400_020_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic+promoter deletion (22/37)	DMSO	1	T	1	0	ESC-NPC;Nxp047;22-37;DMSO
VI072	Nrxn1 promoter/enhancer	B400_020	NPC	mouse	VI072_B400_020_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic deletion (22)	APH 0.5 uM 96h	1	F	1	0.5	ESC-NPC;Nxp047;22;Aphidicolin 0.5 uM 96h
VI073	Nrxn1 promoter/enhancer	B400_020	NPC	mouse	VI073_B400_020_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic deletion (22)	APH 0.5 uM 96h	2	F	1	0.5	ESC-NPC;Nxp047;22;Aphidicolin 0.5 uM 96h
VI074	Nrxn1 promoter/enhancer	B400_020	NPC	mouse	VI074_B400_020_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/5)	APH 0.5 uM 96h	1	F	1	0.5	ESC-NPC;Nxp047;22-5;Aphidicolin 0.5 uM 96h
VI075	Nrxn1 promoter/enhancer	B400_020	NPC	mouse	VI075_B400_020_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/5)	APH 0.5 uM 96h	2	F	1	0.5	ESC-NPC;Nxp047;22-5;Aphidicolin 0.5 uM 96h
VI076	Nrxn1 promoter/enhancer	B400_020	NPC	mouse	VI076_B400_020_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/37)	APH 0.5 uM 96h	1	F	1	0.5	ESC-NPC;Nxp047;22-37;Aphidicolin 0.5 uM 96h
PW154_PW157	APH concentration	B400_021	NPC	mouse	APH_concentration/PW154_PW157_B400_021_result.tlx	chr5	Chr5_101Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3 uM 96h	3	F	2	0.3	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h
PW155	APH concentration	B400_021	NPC	mouse	APH_concentration/PW155_B400_021_result.tlx	chr6	Chr6_70Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3 uM 96h	3	F	2	0.3	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h
PW156_PW159	APH concentration	B400_021	NPC	mouse	APH_concentration/PW156_PW159_B400_021_result.tlx	chr8	Chr8_61Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3 uM 96h	3	F	2	0.3	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h
PW158	APH concentration	B400_021	NPC	mouse	APH_concentration/PW158_B400_021_result.tlx	chr6	Chr6_70Mb	APH 0.3 uM 96h	APH 0.3 uM 96h	APH 0.3 uM 96h	3	F	2	0.3	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h
PW160	Wee1 concentration	B400_021	NPC	mouse	Wee1_concentration/PW160_B400_021_result.tlx	chr5	Chr5_101Mb	Wee1 0.125 uM	Wee1 0.125 uM	Wee1 0.125 uM	1	F	2	0.125	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h;Wee1 0.125 uM
PW161	Wee1 concentration	B400_021	NPC	mouse	Wee1_concentration/PW161_B400_021_result.tlx	chr6	Chr6_70Mb	Wee1 0.125 uM	Wee1 0.125 uM	Wee1 0.125 uM	1	F	2	0.125	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h;Wee1 0.125 uM
PW162	Wee1 concentration	B400_021	NPC	mouse	Wee1_concentration/PW162_B400_021_result.tlx	chr8	Chr8_61Mb	Wee1 0.125 uM	Wee1 0.125 uM	Wee1 0.125 uM	1	F	2	0.125	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h;Wee1 0.125 uM
PW163	Wee1 concentration	B400_021	NPC	mouse	Wee1_concentration/PW163_B400_021_result.tlx	chr5	Chr5_101Mb	Wee1 0.25 uM	Wee1 0.25 uM	Wee1 0.25 uM	1	F	2	0.25	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h;Wee1 0.25 uM
PW164	Wee1 concentration	B400_021	NPC	mouse	Wee1_concentration/PW164_B400_021_result.tlx	chr6	Chr6_70Mb	Wee1 0.25 uM	Wee1 0.25 uM	Wee1 0.25 uM	1	F	2	0.25	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h;Wee1 0.25 uM
PW165	Wee1 concentration	B400_021	NPC	mouse	Wee1_concentration/PW165_B400_021_result.tlx	chr8	Chr8_61Mb	Wee1 0.25 uM	Wee1 0.25 uM	Wee1 0.25 uM	1	F	2	0.25	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h;Wee1 0.25 uM
PW166	Wee1 concentration	B400_021	NPC	mouse	Wee1_concentration/PW166_B400_021_result.tlx	chr5	Chr5_101Mb	Wee1 0.5 uM	Wee1 0.5 uM	Wee1 0.5 uM	1	F	2	0.5	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h;Wee1 0.5 uM
